timestamp,conductivity_conductivity_observed,conductivity_conductivity_predicted,conductivity_conductivity_low,conductivity_conductivity_high,conductivity_conductivity_anomalous,err,threshold,attention_weights
17,36.687400,35.409031,35.229631,35.588431,False,0.009670,0.013800,conductivity_conductivity:0.2174|conductivity_temperature:0.1908|conductivity_salinity:0.2094|conductivity_density:0.1799|conductivity_soundspeed:0.2025
18,35.085800,37.246239,37.066839,37.425639,False,0.027618,0.013800,conductivity_conductivity:0.2162|conductivity_temperature:0.1923|conductivity_salinity:0.2082|conductivity_density:0.1800|conductivity_soundspeed:0.2033
19,35.237900,34.693913,34.514513,34.873313,False,0.001751,0.013800,conductivity_conductivity:0.2153|conductivity_temperature:0.1932|conductivity_salinity:0.2075|conductivity_density:0.1803|conductivity_soundspeed:0.2038
20,35.441600,35.547424,35.368024,35.726824,False,0.000066,0.013800,conductivity_conductivity:0.2117|conductivity_temperature:0.1962|conductivity_salinity:0.2054|conductivity_density:0.1816|conductivity_soundspeed:0.2050
21,34.922700,35.657066,35.477666,35.836466,False,0.003191,0.013800,conductivity_conductivity:0.2114|conductivity_temperature:0.1958|conductivity_salinity:0.2060|conductivity_density:0.1823|conductivity_soundspeed:0.2044
22,35.118700,34.496950,34.317550,34.676350,False,0.002287,0.013800,conductivity_conductivity:0.2112|conductivity_temperature:0.1949|conductivity_salinity:0.2071|conductivity_density:0.1832|conductivity_soundspeed:0.2036
23,35.106000,35.499977,35.320577,35.679377,False,0.000918,0.013800,conductivity_conductivity:0.2104|conductivity_temperature:0.1947|conductivity_salinity:0.2077|conductivity_density:0.1842|conductivity_soundspeed:0.2030
24,35.068600,34.812724,34.633324,34.992124,False,0.000387,0.013800,conductivity_conductivity:0.2108|conductivity_temperature:0.1938|conductivity_salinity:0.2086|conductivity_density:0.1844|conductivity_soundspeed:0.2023
25,34.909100,35.186110,35.006710,35.365510,False,0.000454,0.013800,conductivity_conductivity:0.2104|conductivity_temperature:0.1939|conductivity_salinity:0.2086|conductivity_density:0.1849|conductivity_soundspeed:0.2022
26,34.957700,34.729324,34.549924,34.908724,False,0.000309,0.013800,conductivity_conductivity:0.2100|conductivity_temperature:0.1944|conductivity_salinity:0.2082|conductivity_density:0.1849|conductivity_soundspeed:0.2025
27,34.887300,35.031266,34.851866,35.210666,False,0.000123,0.013800,conductivity_conductivity:0.2096|conductivity_temperature:0.1951|conductivity_salinity:0.2076|conductivity_density:0.1848|conductivity_soundspeed:0.2029
28,35.213700,35.037897,34.858497,35.217297,False,0.000183,0.013800,conductivity_conductivity:0.2103|conductivity_temperature:0.1945|conductivity_salinity:0.2080|conductivity_density:0.1845|conductivity_soundspeed:0.2027
29,35.597600,35.069893,34.890493,35.249293,False,0.001648,0.013800,conductivity_conductivity:0.2118|conductivity_temperature:0.1930|conductivity_salinity:0.2091|conductivity_density:0.1840|conductivity_soundspeed:0.2020
30,35.655900,35.976159,35.796759,36.155559,False,0.000607,0.013800,conductivity_conductivity:0.2137|conductivity_temperature:0.1913|conductivity_salinity:0.2104|conductivity_density:0.1833|conductivity_soundspeed:0.2013
31,35.692500,35.447980,35.268580,35.627380,False,0.000354,0.013800,conductivity_conductivity:0.2149|conductivity_temperature:0.1903|conductivity_salinity:0.2111|conductivity_density:0.1828|conductivity_soundspeed:0.2009
32,35.756300,35.780668,35.601268,35.960068,False,0.000004,0.013800,conductivity_conductivity:0.2153|conductivity_temperature:0.1903|conductivity_salinity:0.2109|conductivity_density:0.1824|conductivity_soundspeed:0.2011
33,35.974000,36.053478,35.874078,36.232878,False,0.000037,0.013800,conductivity_conductivity:0.2162|conductivity_temperature:0.1897|conductivity_salinity:0.2112|conductivity_density:0.1819|conductivity_soundspeed:0.2010
34,35.751500,36.228599,36.049199,36.407999,False,0.001347,0.013800,conductivity_conductivity:0.2163|conductivity_temperature:0.1901|conductivity_salinity:0.2107|conductivity_density:0.1815|conductivity_soundspeed:0.2014
35,35.538200,35.405288,35.225888,35.584688,False,0.000105,0.013800,conductivity_conductivity:0.2157|conductivity_temperature:0.1913|conductivity_salinity:0.2096|conductivity_density:0.1812|conductivity_soundspeed:0.2022
36,35.561000,35.368598,35.189198,35.547998,False,0.000219,0.013800,conductivity_conductivity:0.2145|conductivity_temperature:0.1933|conductivity_salinity:0.2077|conductivity_density:0.1809|conductivity_soundspeed:0.2036
37,35.780600,35.402146,35.222746,35.581546,False,0.000848,0.013800,conductivity_conductivity:0.2146|conductivity_temperature:0.1940|conductivity_salinity:0.2068|conductivity_density:0.1803|conductivity_soundspeed:0.2043
38,36.183200,36.062417,35.883017,36.241817,False,0.000086,0.013800,conductivity_conductivity:0.2163|conductivity_temperature:0.1934|conductivity_salinity:0.2068|conductivity_density:0.1791|conductivity_soundspeed:0.2045
39,35.842100,35.976278,35.796878,36.155678,False,0.000107,0.013800,conductivity_conductivity:0.2170|conductivity_temperature:0.1933|conductivity_salinity:0.2066|conductivity_density:0.1784|conductivity_soundspeed:0.2047
40,35.964900,36.011655,35.832255,36.191055,False,0.000013,0.013800,conductivity_conductivity:0.2174|conductivity_temperature:0.1935|conductivity_salinity:0.2062|conductivity_density:0.1778|conductivity_soundspeed:0.2051
41,36.073900,36.234613,36.055213,36.414013,False,0.000153,0.013800,conductivity_conductivity:0.2171|conductivity_temperature:0.1937|conductivity_salinity:0.2060|conductivity_density:0.1779|conductivity_soundspeed:0.2052
42,35.699200,36.240314,36.060914,36.419714,False,0.001733,0.013800,conductivity_conductivity:0.2168|conductivity_temperature:0.1938|conductivity_salinity:0.2061|conductivity_density:0.1782|conductivity_soundspeed:0.2051
43,35.459600,35.328846,35.149446,35.508246,False,0.000101,0.013800,conductivity_conductivity:0.2154|conductivity_temperature:0.1948|conductivity_salinity:0.2055|conductivity_density:0.1789|conductivity_soundspeed:0.2054
44,35.568700,35.284839,35.105439,35.464239,False,0.000477,0.013800,conductivity_conductivity:0.2141|conductivity_temperature:0.1956|conductivity_salinity:0.2051|conductivity_density:0.1797|conductivity_soundspeed:0.2056
45,35.673600,35.718889,35.539489,35.898289,False,0.000012,0.013800,conductivity_conductivity:0.2140|conductivity_temperature:0.1954|conductivity_salinity:0.2053|conductivity_density:0.1798|conductivity_soundspeed:0.2054
46,35.591400,35.947471,35.768071,36.126871,False,0.000750,0.013800,conductivity_conductivity:0.2144|conductivity_temperature:0.1944|conductivity_salinity:0.2064|conductivity_density:0.1802|conductivity_soundspeed:0.2046
47,35.312300,35.326037,35.146637,35.505437,False,0.000001,0.013800,conductivity_conductivity:0.2138|conductivity_temperature:0.1940|conductivity_salinity:0.2071|conductivity_density:0.1812|conductivity_soundspeed:0.2039
48,35.440500,35.590914,35.411514,35.770314,False,0.000134,0.013800,conductivity_conductivity:0.2133|conductivity_temperature:0.1935|conductivity_salinity:0.2079|conductivity_density:0.1821|conductivity_soundspeed:0.2032
49,35.398900,35.586656,35.407256,35.766056,False,0.000209,0.013800,conductivity_conductivity:0.2128|conductivity_temperature:0.1937|conductivity_salinity:0.2079|conductivity_density:0.1824|conductivity_soundspeed:0.2032
50,35.469600,35.562875,35.383475,35.742275,False,0.000051,0.013800,conductivity_conductivity:0.2132|conductivity_temperature:0.1938|conductivity_salinity:0.2076|conductivity_density:0.1820|conductivity_soundspeed:0.2034
51,35.495800,35.692463,35.513063,35.871863,False,0.000229,0.013800,conductivity_conductivity:0.2133|conductivity_temperature:0.1945|conductivity_salinity:0.2067|conductivity_density:0.1813|conductivity_soundspeed:0.2042
52,35.542400,35.661953,35.482553,35.841353,False,0.000085,0.013800,conductivity_conductivity:0.2136|conductivity_temperature:0.1945|conductivity_salinity:0.2066|conductivity_density:0.1810|conductivity_soundspeed:0.2043
